Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Eurasian Collared-Dove,Streptopelia decaocto,european,Teal,Flocking,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,5,Platform,2,52,,X,,,1,,1,,,,,,2,X,X,,,,,X,X,,,,,,,,,,,X,X,,X,,,,X,,,X,,108,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,You can spend the unused nectar from your personal supply as blue powers are activated before nectar is discarded.,https://www.facebook.com/groups/wingspanboardgame/permalink/706763200027285/?comment_id=706763420027263&reply_comment_id=706764750027130,,,,,,,,
Eurasian Coot,Fulica atra,asia,Brown,,Tuck up to 3 [card] from your hand behind this bird.,,,,4,Ground,4,75,,,X,,1,,,,,,,,1,,X,,,,,,X,,X,,,,,X,,,,,,,,X,,,,,,X,,381,,,,,,,,,,,,,,,,,,,,,,
Eurasian Eagle-Owl,Bubo bubo,asia,Brown,,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less that 110 cm, tuck them behind this bird. If not, discard them.",X,,,4,Platform,2,174,X,X,,,,,,2,,,,,2,,X,,,,X,,,,,X,,,,X,,,,X,,X,,,,,X,,,,"These are push-your-luck powers: After each [card] draw, you check to see whether you succeeded or failed. Once you fail, this bird’s activation is over. You also may choose to end the bird’s activation at any time to avoid the risk of failing and losing what you have gained. <br>After each [card] draw, sum the wingspans of all [card] drawn so far. If the total is 110 cm or more, you failed. Discard all of the [card] you drew for this bird’s activation this turn. <br>If the total wingspan is still less than 110 cm, and you have drawn fewer than 3 during the current activation of this power, you may choose to draw another [card] or stop drawing and tuck all of the drawn [card] behind this bird. <br>If you draw a [card] with a wild wingspan (e.g., some in the Oceania Expansion)—marked with an asterisk (*) in place of a wingspan measurement—you can select any positive length for that bird’s wingspan.",382,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Eurasian Golden Oriole,Oriolus oriolus,european,Pink,Food-related,"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.",,,,4,Wild,2,46,X,X,,1,,,1,,,1,,,3,,X,,X,,X,,,X,X,,,,,,X,X,,X,,,X,,X,,X,,X,,"If all dice in the birdfeeder show the same face, you may reset it before gaining the specific food type. If the birdfeeder contains none of the specific food type, you gain nothing.",109,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,"This bird counts toward the <strong applink=""/card/1023"">Photographer</strong> bonus card.",https://www.boardgamegeek.com/thread/2246435/article/32571727#32571727,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,,,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,
Eurasian Green Woodpecker,Picus viridis,european,Teal,Other,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.",,,,4,Cavity,3,48,X,X,,,1,,1,,,,,,2,,X,,X,,X,,X,,,,,,,,X,,,,,,X,,,,,,,X,"These birds are doubled only for end-of-round goals, not bonus cards or points at the end of the game. <br>Eggs on these cards are not doubled, if the goal is counting the number of eggs.",110,"Only powers of birds played on a player mat can be used. In particular, birds with the power <i>""This bird counts double toward the end-of-round goal, if it qualifies for the goal."" (e.g., <strong applink=""/card/69"">Cetti's Warbler</strong>) does not count double toward the <strong>[card] in hand</strong> end-of-round goal.",https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/,This bird counts double for <strong>Beak pointing left/right</strong> if it qualifies for the goal.,https://www.facebook.com/groups/wingspanboardgame/permalink/744575159579422/,"This bird counts double toward precisely the end-of-round bonuses that count birds, not those that count other quantities. When in your hand this card does not count toward end-of-round bonuses.",https://www.boardgamegeek.com/thread/2365136/article/34012183#34012183,,,,,,,,,,,,,,,,
Eurasian Hobby,Falco subbuteo,european,White,Hunting and fishing,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",X,,,4,Platform,2,75,X,X,X,1,,,,1,,,X,X,1,,X,,,,X,,,,,X,,,,X,,,,X,,X,,,,,X,,X,,"If you use this power, you pay neither the food cost nor the egg cost for these birds. This counts as both a) tucking a card and b) a predator succeeding, and triggers birds with pink powers accordingly. <br>Any cards that were tucked behind the original bird remain tucked, but you must discard any eggs.",111,"Cards whose powers include the phrase <i>""it becomes a tucked card""</i> (e.g., <strong applink=""/card/78"">Common Buzzard</strong>) qualify for the <strong applink=""/card/1008"">Citizen Scientist</strong> bonus card when the Automa has drawn it.",https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767,"If you use a bird's power to play in the same habitat a bird an alternative food cost specified via an asterisk next to its food cost, you may pay the alternative cost (which thus counts as paying the bird's <i>""normal food cost""</i>) instead of paying its food cost.",https://www.discord.com/channels/608588053052653580/693358238439047229/709127448922423368,"If this bird is played on top of a horizontal one (e.g., <strong applink=""/card/77"">Common Blackbird</strong>), it is also placed horizontally and occupies both columns.",https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/,,,,,,,"In games where the Automa has drawn the <strong applink=""/card/1008"">Citizen Scientist</strong> bonus card, this bird qualifies for that bonus card.",https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767,"This bird counts toward the <strong applink=""/card/1013"">Falconer</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,
Eurasian Hoopoe,Upupa epops,asia,White,,Steal 1 [invertebrate] from each of your neighbors. Each neighbor from whom a [invertebrate] was stolen may gain 1 [wild] from the supply.,,,,7,Cavity,5,46,,X,,2,,,,1,,,,,3,,X,,,,,,,X,,,,,,,X,,,,X,X,,,,,,,,X,"You may activate this power if only one of your neighbors has a [invertebrate]. <br>In a 2-player game your opponent is both to your left and right. Because you only have 1 neighbor, only steal 1 [invertebrate] from that player.",383,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Eurasian Jay,Garrulus glandarius,european,Brown,Food-related,Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,,,,4,Bowl,3,56,X,,,1,1,,,,,1,,,3,,X,,,,,,X,X,,,,,X,,,X,,,,,,,X,,,,X,,The food that the other player gains does not have to be the same type stolen.,112,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Eurasian Kestrel,Falco tinnunculus,asia,Brown,,"Roll any 3 [die]. If you roll at least 1 [rodent], cache 1 [rodent] on this bird.",X,,,3,Cavity,3,68,X,X,X,,,,,1,,,,,1,,X,,,X,X,,,,,X,,,,X,X,,,,,X,,,,,,,,X,"If you roll more than 1 [rodent], cache only 1.",384,,,,,,,,,,,,,,,,,,,,,,
Eurasian Magpie,Pica pica,european,Teal,Food-related,"Choose 1 other player. For each action cube in their [grassland], cache 1 [wild] from the supply on any of your birds.",,,,1,Platform,3,56,,X,,1,,,,,,1,,,2,,X,,,X,,,,,,,,,,,,X,,X,X,,,,,,,,,X,These powers can be used to cache food on birds that otherwise do not have caching powers.,113,,,,,,,,,,,,,,,,,,,,,,
Eurasian Marsh-Harrier,Circus aeruginosus,asia,Brown,,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less that 110 cm, tuck them behind this bird. If not, discard them.",X,,,2,Platform,3,130,,,X,,,,,1,,,,,1,,X,,,X,,,,,,X,,,,X,,,,X,,X,,X,,,,,X,,"These are push-your-luck powers: After each [card] draw, you check to see whether you succeeded or failed. Once you fail, this bird’s activation is over. You also may choose to end the bird’s activation at any time to avoid the risk of failing and losing what you have gained. <br>After each [card] draw, sum the wingspans of all [card] drawn so far. If the total is 110 cm or more, you failed. Discard all of the [card] you drew for this bird’s activation this turn. <br>If the total wingspan is still less than 110 cm, and you have drawn fewer than 3 during the current activation of this power, you may choose to draw another [card] or stop drawing and tuck all of the drawn [card] behind this bird. <br>If you draw a [card] with a wild wingspan (e.g., some in the Oceania Expansion)—marked with an asterisk (*) in place of a wingspan measurement—you can select any positive length for that bird’s wingspan.",385,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Eurasian Nutcracker,Nucifraga caryocatactes,european,Brown,Food-related,Choose 1-5 birds in your [forest]. Cache 1 [seed] from your supply on each.,,,,5,Bowl,2,55,X,,,,1,,,,,,,,1,,X,,,,,,X,,,,,,X,,,,,,,,,,X,,X,,X,,These powers can be used to cache food on birds that otherwise do not have caching powers.,114,,,,,,,,,,,,,,,,,,,,,,
Eurasian Nuthatch,Sitta europaea,european,Brown,Food-related,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",,,,3,Cavity,3,25,X,,,1,1,,,,,,,,2,,X,,,X,,,X,,,,,,X,,X,,X,,,,,,,,,,X,,,115,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,You may spend a [seed] cached on this bird anytime you can spend a [seed] from your supply.,https://www.facebook.com/groups/wingspanboardgame/permalink/486158122087795/?comment_id=486188425418098&reply_comment_id=486277005409240,,,,,,,"Food cached on this bird is <i>""used""</i> (for points) and hence does not count as unused food when breaking point ties while scoring.",https://www.boardgamegeek.com/thread/2361799/article/33951687#33951687,"When a bird with a <i>""copy""</i> power (e.g., the <strong applink=""/card/348"">Superb Lyrebird</strong>) copies this bird's power, that bird retains the ability to spend [seed] cached on it until the end of the turn but no longer.",https://www.facebook.com/groups/wingspanboardgame/permalink/714240602612878/?comment_id=714367625933509,,,,,,
Eurasian Sparrowhawk,Accipiter nisus,european,White,Hunting and Fishing,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",X,,,4,Platform,2,65,X,,,,,,,1,,,,X,1,,X,,,,,,,,,X,,,X,,,,,X,,X,,,,,X,,,X,"If these birds use their power to tuck cards instead of paying some or all of the bird’s food cost, this counts as both a) tucking a card and b) a predator succeeding, and triggers birds with pink powers accordingly.",116,"If you use a bird's power to play in the same habitat a bird an alternative food cost specified via an asterisk next to its food cost, you may pay the alternative cost (which thus counts as paying the bird's <i>""normal food cost""</i>) instead of paying its food cost.",https://www.discord.com/channels/608588053052653580/693358238439047229/709127448922423368,,,"This bird counts toward the <strong applink=""/card/1013"">Falconer</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,,,,,,,,,,
Eurasian Tree Sparrow,Passer montanus,european,Pink,Food-related,"When another player takes the ""gain food"" action, gain 1 [seed] from the birdfeeder at the end of their turn.",,,,3,Cavity,4,21,X,X,,1,1,,,,,,,,2,,X,,,X,X,,X,,,,,,,,X,,X,,,,,,,,,,,X,"If all dice in the birdfeeder show the same face, you may reset it before gaining the specific food type. If the birdfeeder contains none of the specific food type, you gain nothing.",117,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,,,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,
